2023-07-26 22:28:07.262 | WARNING  | __main__:setPercentV:393 - 当前进度9
2023-07-26 22:28:12.264 | WARNING  | __main__:setPercentV:393 - 当前进度11
2023-07-26 22:28:17.263 | WARNING  | __main__:setPercentV:393 - 当前进度16
2023-07-26 22:28:22.265 | WARNING  | __main__:setPercentV:393 - 当前进度17
2023-07-26 22:28:27.266 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:28:32.271 | WARNING  | __main__:setPercentV:393 - 当前进度22
2023-07-26 22:28:37.281 | WARNING  | __main__:setPercentV:393 - 当前进度27
2023-07-26 22:28:42.288 | WARNING  | __main__:setPercentV:393 - 当前进度28
2023-07-26 22:28:47.289 | WARNING  | __main__:setPercentV:393 - 当前进度29
2023-07-26 22:28:52.300 | WARNING  | __main__:setPercentV:393 - 当前进度34
2023-07-26 22:28:57.303 | WARNING  | __main__:setPercentV:393 - 当前进度37
2023-07-26 22:29:02.315 | WARNING  | __main__:setPercentV:393 - 当前进度42
2023-07-26 22:29:07.322 | WARNING  | __main__:setPercentV:393 - 当前进度47
2023-07-26 22:29:12.331 | WARNING  | __main__:setPercentV:393 - 当前进度51
2023-07-26 22:29:17.342 | WARNING  | __main__:setPercentV:393 - 当前进度57
2023-07-26 22:29:22.355 | WARNING  | __main__:setPercentV:393 - 当前进度62
2023-07-26 22:29:27.366 | WARNING  | __main__:setPercentV:393 - 当前进度66
2023-07-26 22:29:32.380 | WARNING  | __main__:setPercentV:393 - 当前进度71
2023-07-26 22:29:37.389 | WARNING  | __main__:setPercentV:393 - 当前进度74
2023-07-26 22:29:42.392 | WARNING  | __main__:setPercentV:393 - 当前进度79
2023-07-26 22:29:47.401 | WARNING  | __main__:setPercentV:393 - 当前进度82
2023-07-26 22:29:52.403 | WARNING  | __main__:setPercentV:393 - 当前进度85
2023-07-26 22:29:57.407 | WARNING  | __main__:setPercentV:393 - 当前进度89
2023-07-26 22:30:02.414 | WARNING  | __main__:setPercentV:393 - 当前进度93
2023-07-26 22:30:07.416 | WARNING  | __main__:setPercentV:393 - 当前进度95
2023-07-26 22:30:12.419 | WARNING  | __main__:setPercentV:393 - 当前进度98
2023-07-26 22:30:14.468 | WARNING  | vediodownloadprocesser:downloadTsFiles:257 - 下载任务结束，总计下载耗时:2.4 分钟
2023-07-26 22:30:14.471 | WARNING  | vediodownloadprocesser:mergeTs2MP4:445 - 开始转为mp4，待转换TS文件数量：135
2023-07-26 22:30:15.349 | WARNING  | vediodownloadprocesser:mergeTs2MP4:472 - 转换结束
2023-07-26 22:30:17.430 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:30:22.441 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:30:43.638 | WARNING  | __main__:startDownLoad:355 - 后台线程去执行下载
2023-07-26 22:30:43.639 | WARNING  | vediodownloadprocesser:init:55 - ------初始化系统配置：start-----------
2023-07-26 22:30:43.640 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:30:43.641 | WARNING  | vediodownloadprocesser:init:72 - ------初始化系统配置：end-----------
2023-07-26 22:30:43.641 | WARNING  | vediodownloadprocesser:downLoadStart:388 - 需要解析含有的视频信息
2023-07-26 22:30:43.642 | WARNING  | vediodownloadprocesser:parseSubUrls:262 - 需要预解析URL：https://51cg1.com/archives/60910/
2023-07-26 22:30:45.431 | WARNING  | vediodownloadprocesser:parseSubUrls:310 - 预解析结束
2023-07-26 22:30:45.431 | WARNING  | vediodownloadprocesser:downLoadStart:394 - the url:https://51cg1.com/archives/60910/，共含m3u8文件1, mp4的文件个数0
2023-07-26 22:30:45.996 | WARNING  | vediodownloadprocesser:tsDownload1By1:326 - m3u8文件的保存路径： E:\sourcecode\vediodownloader\dist\download\download\download\download\20230726_223043\site.m3u8
2023-07-26 22:30:45.997 | WARNING  | vediodownloadprocesser:tsDownload1By1:342 - Decode Method：
2023-07-26 22:30:46.133 | WARNING  | vediodownloadprocesser:tsDownload1By1:352 - ts文件的加密 key:b'\xc2\xd4\xc7\x9f\xae\x1b\x19V\xc7lFe8\x0e1\xdb'
2023-07-26 22:30:46.134 | WARNING  | vediodownloadprocesser:tsDownload1By1:363 - ts文件的URL解析完成
2023-07-26 22:30:46.134 | WARNING  | vediodownloadprocesser:downloadTsFiles:187 - 一共待下载的ts文件数：689
2023-07-26 22:30:48.642 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:30:53.642 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:30:58.643 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:31:03.644 | WARNING  | __main__:setPercentV:393 - 当前进度2
2023-07-26 22:31:08.645 | WARNING  | __main__:setPercentV:393 - 当前进度3
2023-07-26 22:31:13.645 | WARNING  | __main__:setPercentV:393 - 当前进度4
2023-07-26 22:31:18.659 | WARNING  | __main__:setPercentV:393 - 当前进度5
2023-07-26 22:31:23.665 | WARNING  | __main__:setPercentV:393 - 当前进度5
2023-07-26 22:31:28.665 | WARNING  | __main__:setPercentV:393 - 当前进度6
2023-07-26 22:31:33.666 | WARNING  | __main__:setPercentV:393 - 当前进度7
2023-07-26 22:31:38.666 | WARNING  | __main__:setPercentV:393 - 当前进度8
2023-07-26 22:31:43.668 | WARNING  | __main__:setPercentV:393 - 当前进度9
2023-07-26 22:31:48.669 | WARNING  | __main__:setPercentV:393 - 当前进度10
2023-07-26 22:31:53.667 | WARNING  | __main__:setPercentV:393 - 当前进度10
2023-07-26 22:31:58.682 | WARNING  | __main__:setPercentV:393 - 当前进度10
2023-07-26 22:32:03.692 | WARNING  | __main__:setPercentV:393 - 当前进度11
2023-07-26 22:32:08.694 | WARNING  | __main__:setPercentV:393 - 当前进度12
2023-07-26 22:32:13.704 | WARNING  | __main__:setPercentV:393 - 当前进度13
2023-07-26 22:32:18.708 | WARNING  | __main__:setPercentV:393 - 当前进度14
2023-07-26 22:32:23.716 | WARNING  | __main__:setPercentV:393 - 当前进度15
2023-07-26 22:32:28.717 | WARNING  | __main__:setPercentV:393 - 当前进度16
2023-07-26 22:32:33.727 | WARNING  | __main__:setPercentV:393 - 当前进度16
2023-07-26 22:32:38.743 | WARNING  | __main__:setPercentV:393 - 当前进度17
2023-07-26 22:32:43.745 | WARNING  | __main__:setPercentV:393 - 当前进度18
2023-07-26 22:32:48.754 | WARNING  | __main__:setPercentV:393 - 当前进度18
2023-07-26 22:32:53.765 | WARNING  | __main__:setPercentV:393 - 当前进度19
2023-07-26 22:32:58.778 | WARNING  | __main__:setPercentV:393 - 当前进度19
2023-07-26 22:33:03.788 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:33:08.794 | WARNING  | __main__:setPercentV:393 - 当前进度21
2023-07-26 22:33:13.801 | WARNING  | __main__:setPercentV:393 - 当前进度22
2023-07-26 22:33:18.810 | WARNING  | __main__:setPercentV:393 - 当前进度23
2023-07-26 22:33:23.813 | WARNING  | __main__:setPercentV:393 - 当前进度23
2023-07-26 22:33:28.816 | WARNING  | __main__:setPercentV:393 - 当前进度24
2023-07-26 22:33:33.819 | WARNING  | __main__:setPercentV:393 - 当前进度25
2023-07-26 22:33:38.834 | WARNING  | __main__:setPercentV:393 - 当前进度25
